fact_id,directed_edge_id,osm_sumo_id,road_name,direction,evidence_kind,mapping_status,exact_start,exact_end
R1,osm:edge:1309809289_0:6325dc90,1309809289#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1309809289_1:fcb9e515,1309809289#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1309809289_2:735c39b3,1309809289#2,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1309809290:c5cf08ab,1309809290,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1312033905:8b7701e4,1312033905,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1433225572_0:4035c667,1433225572#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1433225572_1:34a0afc4,1433225572#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1433225575:16f0bcc7,1433225575,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1433225579:f914d371,1433225579,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:1433225580:6fb85667,1433225580,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:23025074_0:7dece970,23025074#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:23025074_1:702a1035,23025074#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:23025074_2:63ab8a4c,23025074#2,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:240859297_1:3b6e6af7,240859297#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:257670066_0:8574666a,257670066#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:257670066_1:69dc9594,257670066#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:29507724_0:8dab72be,29507724#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:29507724_1:68ff7501,29507724#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:29507724_2:a9ff66b8,29507724#2,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:29507724_3:42678283,29507724#3,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:29722947:9fd4daf1,29722947,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:30259622_1:0a4c3112,30259622#1,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
R1,osm:edge:30263045_0:14dfebb5,30263045#0,Mannerheimintie,southbound,announced,MACHINE_CANDIDATE_REQUIRES_HUMAN_REVIEW,unknown,unknown
