case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-dual_corridor-0,dual_corridor,train,A0,PASS,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,0.008920666994526982,23,1,1.0,1.0,False
eval-dual_corridor-0,dual_corridor,train,A1,PASS,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,0.00390679101110436,23,1,1.0,1.0,True
eval-dual_corridor-0,dual_corridor,train,A2,PASS,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,0.00618779199430719,23,1,1.0,1.0,True
eval-dual_corridor-0,dual_corridor,train,A5,PASS,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,0.006686666019959375,23,1,1.0,1.0,True
eval-dual_corridor-0,dual_corridor,train,A3,DEFERRED_USER,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,,,,,,
eval-dual_corridor-0,dual_corridor,train,A4,DEFERRED_USER,9af421604fc7c07532e0af79b46888baeae5ecb9a307b45a658035e7c3374949,,,,,,
eval-dual_corridor-1,dual_corridor,train,A0,PASS,2860be47a80f5a8d9028bf32c7986544e11dcf1285a00b497aad4bde0cb4ea6d,0.00400737498421222,23,1,1.0,1.0,False
eval-dual_corridor-1,dual_corridor,train,A1,PASS,2860be47a80f5a8d9028bf32c7986544e11dcf1285a00b497aad4bde0cb4ea6d,0.003524792002281174,23,1,1.0,1.0,True
eval-dual_corridor-1,dual_corridor,train,A2,PASS,2860be47a80f5a8d9028bf32c7986544e11dcf1285a00b497aad4bde0cb4ea6d,0.005860750010469928,23,1,1.0,1.0,True
eval-dual_corridor-1,dual_corridor,train,A5,PASS,2860be47a80f5a8d9028bf32c7986544e11dcf1285a00b497aad4bde0cb4ea6d,0.005825500003993511,23,1,1.0,1.0,True
eval-dual_corridor-1,dual_corridor,train,A3,DEFERRED_USER,2860be47a80f5a8d9028bf32c7986544e11dcf1285a00b497aad4bde0cb4ea6d,,,,,,
